Strain,Type,Total,QC_passed,QC_failed,Secondary,Supplementary,Duplicates,Mapped,Mapped_percent,Paired,Read1,Read2,Properly_paired,Properly_paired_percent,Self_and_mate_mapped,Singletons,Singletons_percent,Mate_mapped_diff_chr,Mate_mapped_diff_chr_mapQ_ge_5
104AT,Normal,24458777 24458777 0 0 220203 0 479333 0 24238574 12119287 12119287 20918600 0 22086826 187745 0 479333 479333
104AT,TBR,54786 54786 0 0 75 0 208 0 54711 27369 27342 53784 0 54631 40 0 208 208
104BT,Normal,24824462 24824462 0 0 197908 0 483823 0 24626554 12313277 12313277 21785070 0 22950162 170466 0 483823 483823
104BT,TBR,62317 62317 0 0 68 0 251 0 62249 31156 31093 61256 0 62213 18 0 251 251
105BT,Normal,28594885 28594885 0 0 249467 0 560889 0 28345418 14172709 14172709 24757256 0 26081956 196282 0 560889 560889
105BT,TBR,141276 141276 0 0 156 0 313 0 141120 70572 70548 138770 0 140878 121 0 313 313
108AT,Normal,48477252 48477252 0 0 547118 0 896788 0 47930134 23965067 23965067 41877510 0 44224294 415093 0 896788 896788
108AT,TBR,166888 166888 0 0 83 0 151 0 166805 83425 83380 165812 0 166699 53 0 151 151
108BT,Normal,48742711 48742711 0 0 567425 0 935978 0 48175286 24087643 24087643 41595022 0 44077268 456740 0 935978 935978
108BT,TBR,194876 194876 0 0 74 0 161 0 194802 97424 97378 193948 0 194726 38 0 161 161
113AT,Normal,20774971 20774971 0 0 199153 0 412620 0 20575818 10287909 10287909 16476706 0 17501920 153069 0 412620 412620
113AT,TBR,51036 51036 0 0 69 0 176 0 50967 25499 25468 50042 0 50843 62 0 176 176
113BT,Normal,24388406 24388406 0 0 197466 0 479905 0 24190940 12095470 12095470 21576486 0 22699104 164677 0 479905 479905
113BT,TBR,60410 60410 0 0 63 0 177 0 60347 30159 30188 59360 0 60285 31 0 177 177
130BT,Normal,21442608 21442608 0 0 181576 0 385029 0 21261032 10630516 10630516 18679590 0 19613512 148920 0 385029 385029
130BT,TBR,36574 36574 0 0 47 0 113 0 36527 18283 18244 36024 0 36493 17 0 113 113
13_97D,Normal,24164153 24164153 0 0 168835 0 343675 0 23995318 11997659 11997659 21566802 0 22410796 138868 0 343675 343675
13_97D,TBR,5135 5135 0 0 49 0 212 0 5086 2555 2531 4642 0 5084 1 0 212 212
141BT,Normal,26825494 26825494 0 0 239842 0 535920 0 26585652 13292826 13292826 23086000 0 24376716 204768 0 535920 535920
141BT,TBR,57638 57638 0 0 87 0 187 0 57551 28773 28778 56618 0 57469 41 0 187 187
146AT,Normal,23318009 23318009 0 0 231951 0 392475 0 23086058 11543029 11543029 20425318 0 21414186 148354 0 392475 392475
146AT,TBR,21441 21441 0 0 25 0 95 0 21416 10685 10731 21050 0 21398 9 0 95 95
146BT,Normal,28937849 28937849 0 0 304151 0 604695 0 28633698 14316849 14316849 25081686 0 26543302 215744 0 604695 604695
146BT,TBR,28492 28492 0 0 34 0 119 0 28458 14243 14215 27902 0 28418 20 0 119 119
148AT,Normal,18911299 18911299 0 0 166251 0 346423 0 18745048 9372524 9372524 15877828 0 16742590 147595 0 346423 346423
148AT,TBR,38964 38964 0 0 31 0 74 0 38933 19456 19477 38516 0 38891 21 0 74 74
148BT,Normal,26076197 26076197 0 0 229651 0 495493 0 25846546 12923273 12923273 22336472 0 23540270 188016 0 495493 495493
148BT,TBR,51125 51125 0 0 43 0 131 0 51082 25538 25544 50368 0 50998 42 0 131 131
14_97D,Normal,24173438 24173438 0 0 180390 0 324236 0 23993048 11996524 11996524 21688472 0 22522732 125360 0 324236 324236
14_97D,TBR,76 76 0 0 0 0 0 0 76 36 40 70 0 76 0 0 0 0
15_97D,Normal,24156006 24156006 0 0 166132 0 352948 0 23989874 11994937 11994937 21561352 0 22410816 141001 0 352948 352948
15_97D,TBR,3346 3346 0 0 41 0 145 0 3305 1658 1647 2974 0 3299 3 0 145 145
15BT-relapse,Normal,48662321 48662321 0 0 356981 0 857479 0 48305340 24152670 24152670 42963478 0 45042348 360760 0 857479 857479
15BT-relapse,TBR,117591 117591 0 0 158 0 162 0 117433 58701 58732 116378 0 117309 62 0 162 162
163AT,Normal,24182958 24182958 0 0 229964 0 465830 0 23952994 11976497 11976497 20936664 0 22093554 183423 0 465830 465830
163AT,TBR,50825 50825 0 0 61 0 85 0 50764 25381 25383 50158 0 50720 22 0 85 85
163AT-relapse,Normal,19743611 19743611 0 0 171589 0 354936 0 19572022 9786011 9786011 17117584 0 18000670 136358 0 354936 354936
163AT-relapse,TBR,42860 42860 0 0 43 0 66 0 42817 21424 21393 42328 0 42785 16 0 66 66
167AT,Normal,27194481 27194481 0 0 240489 0 563622 0 26953992 13476996 13476996 23521194 0 24845190 191190 0 563622 563622
167AT,TBR,45034 45034 0 0 43 0 155 0 44991 22506 22485 44032 0 44909 41 0 155 155
167BT,Normal,34129911 34129911 0 0 287209 0 548643 0 33842702 16921351 16921351 29266184 0 30647046 221592 0 548643 548643
167BT,TBR,73975 73975 0 0 52 0 225 0 73923 36970 36953 73048 0 73855 34 0 225 225
174AT,Normal,22031190 22031190 0 0 200664 0 429918 0 21830526 10915263 10915263 19293822 0 20347716 158787 0 429918 429918
174AT,TBR,45340 45340 0 0 31 0 79 0 45309 22642 22667 44790 0 45261 24 0 79 79
174BT,Normal,25784354 25784354 0 0 213834 0 504894 0 25570520 12785260 12785260 22848028 0 24034852 165312 0 504894 504894
174BT,TBR,61836 61836 0 0 83 0 273 0 61753 30874 30879 60548 0 61681 36 0 273 273
19BT,Normal,25064647 25064647 0 0 220801 0 496251 0 24843846 12421923 12421923 21770816 0 22961458 172916 0 496251 496251
19BT,TBR,68039 68039 0 0 53 0 229 0 67986 33982 34004 66812 0 67882 52 0 229 229
