Strain,Total Reads,Total < 170,Total > 170,CN = 1,CN > 5,CN > 20,CN > 50,CN > 100
104AT,54786,651,15661,10958,1161,234,170,23
104BT,62317,679,17380,12177,1333,258,161,49
105BT,141276,1467,27455,20045,2406,715,248,218
108AT,166888,1385,44284,35965,2812,776,263,210
108BT,194876,1586,56293,47228,2848,894,310,222
113AT,51036,623,14247,9829,1172,216,167,17
113BT,60410,716,16269,11072,1280,259,171,39
130BT,36574,459,11487,7996,842,258,78,1
141BT,57638,666,16640,11808,1029,232,210,28
146AT,21441,318,7261,4853,444,154,28,0
146BT,28492,444,9310,6359,667,114,86,0
148AT,38964,403,13526,9431,841,200,90,0
148BT,51125,518,15318,10353,1063,250,155,13
15BT-relapse,117591,1324,31927,24215,1853,417,171,215
163AT,50825,536,14379,9769,1314,204,151,15
163AT-relapse,42860,483,11253,7161,1131,177,140,7
167AT,45034,592,12992,8770,1100,165,150,10
167BT,73975,1318,34279,29521,1177,226,157,34
174AT,45340,516,13435,9107,1044,157,160,9
174BT,61836,797,15378,10609,1352,255,191,43
19BT,68039,679,17646,12361,1411,281,168,73
223AT,70975,835,15725,10540,1268,310,155,121
280104,98260,1047,29861,21252,1575,511,174,100
29BT,38098,465,13522,9809,802,238,74,0
340AT,66722,1363,16589,11072,1334,278,164,71
346AT-relapse,137685,2328,60464,53124,1881,424,121,190
346BT,162835,2602,62958,54982,2160,561,190,213
348BT,142610,1374,34739,26971,2297,640,211,214
349BT,72255,696,16931,11632,1392,338,159,108
378BT,56093,577,17373,12877,1036,231,167,34
40AT,141254,2360,58875,51681,1739,476,152,197
40BT,117926,2043,46539,39876,1762,485,74,175
45BT,68696,726,16708,11268,1600,359,117,88
48BT,68640,707,17533,12255,1392,292,161,81
57AT,81852,864,27405,21537,1288,264,215,85
85BT,54068,539,16357,11382,1281,224,156,18
93AT,118947,1084,25920,18390,2115,530,190,198
940,34452,920,15759,9958,978,47,0,0
95BT,81608,2352,20913,15149,1545,347,174,112
