Unique_ID,Strain,CopyNumber
U1,104AT,103
U1,104BT,129
U1,105BT,287
U1,108AT,292
U1,108BT,357
U1,113AT,111
U1,113BT,123
U1,15BT-relapse,163
U1,163AT,102
U1,167AT,103
U1,167BT,107
U1,174BT,105
U1,19BT,139
U1,223AT,130
U1,340AT,132
U1,346AT-relapse,218
U1,346BT,258
U1,348BT,290
U1,349BT,147
U1,378BT,117
U1,40AT,205
U1,40BT,168
U1,45BT,171
U1,48BT,128
U1,57AT,104
U1,85BT,108
U1,93AT,227
U1,95BT,144
U1,LOGRA,103
U1,MBA,331
U1,AnTat-11-17,168
U1,Frala,144
U1,INRB-2009-56A-15BT,106
U1,KOLO,178
U1,NTUMA,251
U2,104AT,115
U2,104BT,127
U2,105BT,369
U2,108AT,446
U2,108BT,464
U2,113AT,120
U2,113BT,146
U2,141BT,119
U2,148BT,129
U2,15BT-relapse,241
U2,163AT,119
U2,163AT-relapse,110
U2,167AT,132
U2,167BT,135
U2,174AT,116
U2,174BT,151
U2,19BT,156
U2,223AT,181
U2,340AT,165
U2,346AT-relapse,204
U2,346BT,293
U2,348BT,359
U2,349BT,193
U2,378BT,133
U2,40AT,243
U2,40BT,253
U2,45BT,171
U2,48BT,195
U2,57AT,159
U2,85BT,116
U2,93AT,310
U2,95BT,176
U2,LOGRA,143
U2,MBA,379
U2,AnTat-11-17,175
U2,Frala,205
U2,INRB-2009-56A-15BT,144
U2,KOLO,215
U2,Mongo,135
U2,NTUMA,304
U3,104AT,106
U3,104BT,121
U3,105BT,319
U3,108AT,388
U3,108BT,421
U3,113AT,106
U3,113BT,148
U3,148BT,103
U3,15BT-relapse,226
U3,163AT,117
U3,163AT-relapse,101
U3,167BT,128
U3,174AT,122
U3,174BT,117
U3,19BT,135
U3,223AT,141
U3,340AT,114
U3,346AT-relapse,211
U3,346BT,286
U3,348BT,312
U3,349BT,183
U3,378BT,116
U3,40AT,241
U3,40BT,236
U3,45BT,165
U3,48BT,130
U3,57AT,139
U3,85BT,108
U3,93AT,259
U3,95BT,161
U3,LOGRA,126
U3,MBA,356
U3,AnTat-11-17,156
U3,Frala,161
U3,INRB-2009-56A-15BT,118
U3,KOLO,184
U3,Mongo,106
U3,NTUMA,280
U4,104AT,110
U4,105BT,211
U4,108AT,247
U4,108BT,319
U4,15BT-relapse,166
U4,19BT,140
U4,223AT,145
U4,340AT,115
U4,346AT-relapse,163
U4,346BT,200
U4,348BT,255
U4,349BT,112
U4,40AT,180
U4,40BT,135
U4,45BT,127
U4,48BT,119
U4,57AT,119
U4,93AT,207
U4,95BT,135
U4,MBA,272
U4,AnTat-11-17,114
U4,Frala,149
U4,KOLO,148
U4,NTUMA,229
U5,104AT,115
U5,104BT,131
U5,105BT,292
U5,108AT,296
U5,108BT,397
U5,113AT,107
U5,113BT,127
U5,141BT,123
U5,148BT,124
U5,15BT-relapse,210
U5,167AT,110
U5,167BT,136
U5,174BT,123
U5,19BT,134
U5,223AT,158
U5,340AT,139
U5,346AT-relapse,207
U5,346BT,227
U5,348BT,285
U5,349BT,124
U5,378BT,112
U5,40AT,222
U5,40BT,200
U5,45BT,157
U5,48BT,144
U5,57AT,145
U5,85BT,120
U5,93AT,263
U5,95BT,178
U5,LOGRA,129
U5,MBA,352
U5,MBO-NG-74-R10,107
U5,Nabe,111
U5,AnTat-11-17,179
U5,Frala,222
U5,INRB-2009-56A-15BT,135
U5,KOLO,200
U5,MKOK-BF-80-KK25,108
U5,MOERBEKE-103,131
U5,Mongo,133
U5,NTUMA,292
U6,104AT,112
U6,104BT,119
U6,105BT,252
U6,108AT,258
U6,108BT,297
U6,113BT,102
U6,15BT-relapse,207
U6,174BT,108
U6,19BT,120
U6,223AT,125
U6,340AT,119
U6,346AT-relapse,201
U6,346BT,231
U6,348BT,239
U6,349BT,145
U6,40AT,206
U6,40BT,190
U6,45BT,130
U6,48BT,119
U6,57AT,145
U6,93AT,219
U6,95BT,135
U6,LOGRA,118
U6,MBA,245
U6,AnTat-11-17,133
U6,Frala,172
U6,INRB-2009-56A-15BT,103
U6,KOLO,175
U6,NTUMA,220
U7,104AT,130
U7,104BT,197
U7,105BT,410
U7,108AT,391
U7,108BT,400
U7,113AT,124
U7,113BT,174
U7,130BT,113
U7,141BT,147
U7,148BT,137
U7,15BT-relapse,283
U7,163AT,120
U7,163AT-relapse,120
U7,167BT,152
U7,174AT,124
U7,174BT,182
U7,19BT,191
U7,223AT,217
U7,340AT,199
U7,346AT-relapse,264
U7,346BT,336
U7,348BT,334
U7,349BT,203
U7,378BT,164
U7,40AT,282
U7,40BT,255
U7,45BT,156
U7,48BT,197
U7,57AT,205
U7,85BT,118
U7,93AT,309
U7,95BT,240
U7,LOGRA,178
U7,MBA,428
U7,Nabe,106
U7,AnTat-11-17,227
U7,Frala,246
U7,INRB-2009-56A-15BT,181
U7,KOLO,172
U7,MOERBEKE-82,126
U7,Mongo,160
U7,NTUMA,375
U8,104AT,108
U8,104BT,103
U8,105BT,252
U8,108AT,293
U8,108BT,318
U8,113AT,113
U8,113BT,128
U8,141BT,103
U8,15BT-relapse,207
U8,163AT,106
U8,174BT,169
U8,19BT,118
U8,223AT,141
U8,340AT,133
U8,346AT-relapse,198
U8,346BT,257
U8,348BT,273
U8,349BT,154
U8,378BT,123
U8,40AT,187
U8,40BT,174
U8,45BT,114
U8,48BT,123
U8,57AT,157
U8,93AT,226
U8,95BT,158
U8,LOGRA,126
U8,MBA,324
U8,AnTat-11-17,155
U8,Frala,169
U8,INRB-2009-56A-15BT,127
U8,KOLO,131
U8,Mongo,108
U8,NTUMA,266
U9,104AT,113
U9,104BT,112
U9,105BT,234
